,Zip Code,Date,Population,State Bottle Cost,State Bottle Retail,Year,Month,Day,Volume Sold (Liters) Per Capita
0,50003,8/27/13,7118,27,40.5,2013,8,27,0.000105367
1,50009,2/2/12,19559,21.21,31.81,2012,2,2,4.09E-05
2,50009,7/12/12,19559,10.14,15.58,2012,7,12,0.000115037
3,50009,3/7/13,19559,9.97,14.96,2013,3,7,0.000460146
4,50009,12/30/13,19559,6.83,10.24,2013,12,30,2.56E-05
5,50009,3/18/14,19559,6.77,10.15,2014,3,18,7.67E-05
6,50009,4/30/14,19559,13.12,19.68,2014,4,30,3.83E-05
7,50009,5/21/14,19559,13.51,21.01,2014,5,21,0.000536837
8,50009,5/28/14,19559,3.67,5.51,2014,5,28,0.000460146
9,50009,6/4/14,19559,8.99,13.49,2014,6,4,3.83E-05
10,50009,10/1/14,19559,7.13,10.7,2014,10,1,3.83E-05
11,50010,1/19/12,33965,6.3,9.45,2012,1,19,0.000264979
12,50010,1/26/12,33965,17.97,26.96,2012,1,26,0.000264979
13,50010,9/13/12,33965,2.85,4.28,2012,9,13,3.53E-05
14,50010,12/13/12,33965,31.5,47.24,2012,12,13,4.42E-05
15,50010,3/25/13,33965,9.23,13.85,2013,3,25,0.003091418
16,50010,5/20/13,33965,6.5,9.74,2013,5,20,2.21E-05
17,50010,6/13/13,33965,7.13,10.7,2013,6,13,0.000309142
18,50010,1/15/14,33965,3.75,5.63,2014,1,15,0.000264979
19,50010,3/12/14,33965,12.99,19.49,2014,3,12,0.000309142
20,50010,4/23/14,33965,9.43,14.14,2014,4,23,0.000353305
21,50010,7/16/14,33965,10,14.99,2014,7,16,0.000264979
22,50010,12/3/14,33965,3,4.5,2014,12,3,4.42E-05
23,50010,3/18/15,33965,7.6,11.4,2015,3,18,0.000309142
24,50010,5/27/15,33965,10.99,16.49,2015,5,27,4.42E-05
25,50010,6/3/15,33965,3.5,5.25,2015,6,3,3.30E-05
26,50010,7/14/15,33965,18,27,2015,7,14,0.000309142
27,50010,9/16/15,33965,19,28.5,2015,9,16,0.000264979
28,50010,9/28/15,33965,13.5,20.25,2015,9,28,0.000264979
29,50010,11/23/15,33965,7.08,10.62,2015,11,23,0.000309142
30,50014,2/20/12,30231,8.4,12.59,2012,2,20,4.96E-05
31,50014,2/19/14,30231,10.24,15.35,2014,2,19,9.92E-05
32,50021,2/22/12,27406,6.3,9.45,2012,2,22,0.000109465
33,50021,8/9/12,27406,13.54,20.31,2012,8,9,2.74E-05
34,50021,1/22/14,27406,3.34,5.01,2014,1,22,0.000328395
35,50021,3/19/14,27406,5.94,9.91,2014,3,19,0.000328395
36,50021,8/20/14,27406,18.5,27.75,2014,8,20,0.00043786
37,50021,3/31/15,27406,6.5,9.75,2015,3,31,0.000328395
38,50021,7/22/15,27406,3.42,5.13,2015,7,22,0.000328395
39,50021,8/11/15,27406,1.56,2.34,2015,8,11,0.000350288
40,50021,9/8/15,27406,5,7.5,2015,9,8,5.47E-05
41,50022,1/31/12,8282,2.84,4.25,2012,1,31,9.06E-05
42,50022,5/8/12,8282,11.82,17.74,2012,5,8,0.000482975
43,50022,12/18/12,8282,7.13,10.7,2012,12,18,0.00126781
44,50022,9/23/13,8282,15.63,23.44,2013,9,23,0.000144893
45,50022,2/2/15,8282,13.25,19.88,2015,2,2,0.002173388
46,50022,6/26/15,8282,10,15,2015,6,26,0.000362231
47,50023,6/26/12,36456,3.7,5.55,2012,6,26,0.000246873
48,50023,10/21/13,36456,25.25,38.99,2013,10,21,8.23E-05
49,50023,6/26/14,36456,4,6,2014,6,26,0.000246873
50,50023,8/7/14,36456,28.69,43.04,2014,8,7,9.60E-05
51,50023,1/20/15,36456,7.8,11.7,2015,1,20,4.11E-05
52,50023,3/31/15,36456,9.24,13.86,2015,3,31,0.000288018
53,50025,8/14/12,3107,6.87,10.81,2012,8,14,0.00024139
54,50035,12/29/14,7660,11,16.5,2014,12,29,9.79E-05
55,50036,9/3/14,16455,9.42,14.13,2014,9,3,0.000546946
56,50036,9/17/14,16455,10.45,15.68,2014,9,17,0.001276208
57,50036,1/14/15,16455,7.17,10.76,2015,1,14,0.001276208
58,50049,5/21/12,6292,11.01,16.52,2012,5,21,0.000556262
59,50049,11/21/13,6292,6.5,9.74,2013,11,21,0.000357597
60,50049,3/11/15,6292,7,10.5,2015,3,11,0.001430388
61,50054,11/5/13,2909,3.5,5.25,2013,11,5,0.000515641
62,50056,11/16/15,1435,4.67,7.01,2015,11,16,0.002090592
63,50058,4/24/12,1909,16.43,24.64,2012,4,24,0.006286014
64,50109,2/28/13,3058,10.49,15.73,2013,2,28,0.00147155
65,50111,2/16/12,13764,21.67,32.5,2012,2,16,5.45E-05
66,50111,12/17/12,13764,10.98,16.48,2012,12,17,0.00076286
67,50111,2/25/13,13764,15.42,23.13,2013,2,25,0.00076286
68,50111,2/18/14,13764,3.05,4.57,2014,2,18,0.00010898
69,50111,9/23/14,13764,25.66,38.49,2014,9,23,0.000799186
70,50111,4/14/15,13764,4.8,7.2,2015,4,14,5.45E-05
71,50111,5/12/15,13764,20.05,30.08,2015,5,12,0.000127143
72,50111,6/9/15,13764,11.99,17.99,2015,6,9,0.00076286
73,50111,8/18/15,13764,32.49,48.74,2015,8,18,0.00010898
74,50112,6/21/12,11779,10.56,15.84,2012,6,21,0.000509381
75,50112,7/19/12,11779,7.61,11.42,2012,7,19,3.23E-05
76,50112,11/20/12,11779,18.08,27.13,2012,11,20,0.001910179
77,50112,9/4/13,11779,4.7,7.05,2013,9,4,0.000135835
78,50112,9/17/15,11779,11.18,16.77,2015,9,17,0.000891417
79,50115,5/21/15,2723,12.99,19.49,2015,5,21,0.003856041
80,50125,1/26/12,20354,3.25,4.88,2012,1,26,0.000442174
81,50125,11/13/12,20354,15.53,23.3,2012,11,13,9.83E-05
82,50125,6/15/13,20354,4.65,6.98,2013,6,15,9.83E-05
83,50125,3/13/14,20354,7,10.49,2014,3,13,3.68E-05
84,50125,7/10/14,20354,10.5,15.75,2014,7,10,8.60E-05
85,50125,9/29/14,20354,18.5,27.75,2014,9,29,9.83E-05
86,50125,2/9/15,20354,8.5,12.75,2015,2,9,0.002210868
87,50126,11/16/12,6754,13.31,19.97,2012,11,16,0.000777317
88,50126,10/13/14,6754,5.48,8.22,2014,10,13,0.001332544
89,50126,1/5/15,6754,10.45,15.68,2015,1,5,0.009327806
90,50129,7/12/12,4906,4.53,6.8,2012,7,12,0.000458622
91,50129,8/20/12,4906,3.36,5.03,2012,8,20,0.000152874
92,50129,8/28/14,4906,9.65,14.48,2014,8,28,0.000917244
93,50129,5/28/15,4906,3.37,5.06,2015,5,28,0.001834488
94,50130,3/26/13,1592,6.5,9.74,2013,3,26,0.001884422
95,50131,11/17/14,20920,9.06,13.59,2014,11,17,2.39E-05
96,50131,1/8/15,20920,11.96,17.94,2015,1,8,0.000501912
97,50131,2/26/15,20920,3,4.5,2015,2,26,5.35E-05
98,50131,8/27/15,20920,6.9,10.35,2015,8,27,0.00043021
99,50138,12/12/12,11741,10,14.99,2012,12,12,6.39E-05
100,50138,5/28/14,11741,25.66,38.5,2014,5,28,0.000979474
101,50142,7/7/15,933,26.24,39.36,2015,7,7,0.000803859
102,50156,8/20/15,4865,9.14,13.71,2015,8,20,0.002158273
103,50158,5/24/12,30902,7.46,11.19,2012,5,24,0.000339784
104,50158,7/12/12,30902,6.55,9.83,2012,7,12,0.000291243
105,50158,8/30/12,30902,8.4,12.59,2012,8,30,0.000291243
106,50158,10/12/12,30902,7.96,11.94,2012,10,12,0.000291243
107,50158,12/27/12,30902,18.44,27.66,2012,12,27,7.28E-05
108,50158,2/14/13,30902,17,25.74,2013,2,14,0.000339784
109,50158,5/2/13,30902,14.5,21.75,2013,5,2,0.000145622
110,50158,1/28/14,30902,3.4,5.1,2014,1,28,0.000291243
111,50158,7/8/14,30902,7.62,11.43,2014,7,8,0.000388324
112,50158,12/16/14,30902,15.75,23.63,2014,12,16,0.000679568
113,50158,4/28/15,30902,11.78,17.67,2015,4,28,0.000388324
114,50158,6/9/15,30902,16,24.4,2015,6,9,0.000291243
115,50171,9/10/13,2581,5.47,8.21,2013,9,10,0.003487021
116,50171,11/2/15,2581,11,16.5,2015,11,2,0.000871755
117,50201,7/1/13,8303,10,15,2013,7,1,0.000451644
