,Zip Code,Population
0,50613,"44,154"
1,52001,"43,502"
2,52402,"41,407"
3,52302,"40,340"
4,52404,"39,284"
5,50317,"37,976"
6,52722,"37,308"
7,51503,"37,062"
8,50023,"36,456"
9,50315,"35,825"
10,51501,"35,356"
11,52240,"34,689"
12,50010,"33,965"
13,50265,"32,135"
14,50310,"31,877"
15,50322,"31,177"
16,50701,"31,102"
17,50158,"30,902"
18,52761,"30,619"
19,50014,"30,231"
20,52501,"29,650"
21,50401,"29,033"
22,50266,"28,917"
23,52601,"28,777"
24,50501,"28,063"
25,52806,"27,872"
26,52804,"27,560"
27,50021,"27,406"
28,52732,"26,943"
29,51106,"26,707"
30,52405,"25,474"
31,52245,"25,157"
32,50263,"23,858"
33,52246,"23,517"
34,52403,"22,968"
35,51104,"22,924"
36,52803,"22,319"
37,50320,"22,209"
38,50131,"20,920"
39,50208,"20,693"
40,52241,"20,681"
41,50125,"20,354"
42,52317,"19,769"
43,50009,"19,559"
44,50702,"19,300"
45,50313,"19,073"
46,50703,"18,978"
47,51103,"17,356"
48,50325,"17,007"
49,50316,"16,774"
50,52002,"16,729"
51,50036,"16,455"
52,50312,"16,173"
53,50311,"15,740"
54,52807,"15,638"
55,52577,"15,247"
56,50323,"14,560"
57,50111,"13,764"
58,52556,"13,653"
59,52101,"13,580"
60,50219,"13,568"
61,52003,"13,555"
62,50211,"12,816"
63,52632,"12,636"
64,52627,"12,562"
65,50588,"12,513"
66,51301,"12,401"
67,50677,"12,327"
68,52641,"12,254"
69,51031,"12,152"
70,51401,"11,965"
71,50112,"11,779"
72,50138,"11,741"
73,50314,"11,528"
74,50327,"11,381"
75,50616,"10,504"
76,52748,"10,397"
77,52802,"10,365"
78,51105,"9,820"
79,51442,"9,793"
80,52353,"9,424"
81,50801,"9,417"
82,50428,"9,339"
83,51534,"9,228"
84,50321,"9,134"
85,50595,"9,041"
86,50220,"8,962"
87,52205,"8,874"
88,50644,"8,849"
89,50707,"8,741"
90,51250,"8,565"
91,52060,"8,402"
92,50273,"8,339"
93,50201,"8,303"
94,50022,"8,282"
95,51360,"8,174"
96,52411,"8,145"
97,52057,"7,670"
98,50035,"7,660"
99,52742,"7,588"
100,52349,"7,554"
101,52544,"7,369"
102,52537,"7,265"
103,52233,"7,154"
104,51041,"7,149"
105,50003,"7,118"
106,51334,"7,014"
107,51632,"7,012"
108,50309,"7,008"
109,50511,"6,975"
110,50213,"6,850"
111,51537,"6,775"
112,50662,"6,763"
113,50126,"6,754"
114,52333,"6,627"
115,51566,"6,514"
116,51012,"6,386"
117,52310,"6,359"
118,50049,"6,292"
119,50226,"6,289"
120,52314,"6,123"
121,50047,"6,120"
122,52172,"5,985"
123,52531,"5,982"
124,51201,"5,972"
125,50436,"5,845"
126,52136,"5,823"
127,52040,"5,718"
128,51601,"5,664"
129,50548,"5,663"
130,52753,"5,648"
131,51054,"5,633"
132,50461,"5,583"
133,52247,"5,546"
134,50441,"5,371"
135,51108,"5,367"
136,50659,"5,332"
137,52772,"5,157"
138,52031,"5,111"
139,51247,"5,044"
140,50324,"4,990"
141,52730,"4,942"
142,50129,"4,906"
143,52776,"4,906"
144,51555,"4,885"
145,50156,"4,865"
146,50012,"4,817"
147,52726,"4,716"
148,52361,"4,616"
149,52778,"4,588"
150,50648,"4,536"
151,50536,"4,483"
152,51351,"4,398"
153,52068,"4,385"
154,50248,"4,321"
155,52339,"4,213"
156,52655,"4,209"
157,50438,"4,109"
158,52213,"4,060"
159,50124,"4,053"
160,50533,"3,872"
161,51510,"3,792"
162,52738,"3,747"
163,50674,"3,716"
164,52338,"3,693"
165,50651,"3,685"
166,52214,"3,590"
167,52162,"3,551"
168,52301,"3,546"
169,51040,"3,543"
170,52358,"3,525"
171,52175,"3,522"
172,50525,"3,487"
